Mentor ID,Mentor Name,Actual Experience Years,In-house Employment Confirmed,Employer 1,Role 1,From 1,To 1,Employer 2,Role 2,From 2,To 2,Employer 3,Role 3,From 3,To 3,Notes / Evidence Checked
FCS-M444,Tarun Menon,,,,,,,,,,,,,,,
FCS-M445,Trisha Prasad,,,,,,,,,,,,,,,
FCS-M446,Kartik Sodhi,,,,,,,,,,,,,,,
FCS-M447,Varun Kohli,,,,,,,,,,,,,,,
FCS-M448,Laksh Pawar,,,,,,,,,,,,,,,
FCS-M449,Muskan Vyas,,,,,,,,,,,,,,,
FCS-M450,Avni Jain,,,,,,,,,,,,,,,
FCS-M451,Kavya Patil,,,,,,,,,,,,,,,
FCS-M452,Radhika Reddy,,,,,,,,,,,,,,,
FCS-M453,Charu Yadav,,,,,,,,,,,,,,,
FCS-M454,Mahima Maheshwari,,,,,,,,,,,,,,,
FCS-M455,Manish Malhotra,,,,,,,,,,,,,,,
FCS-M456,Swati Mittal,,,,,,,,,,,,,,,
FCS-M457,Sameer Tripathi,,,,,,,,,,,,,,,
FCS-M458,Diya Iyer,,,,,,,,,,,,,,,
FCS-M459,Manish Desai,,,,,,,,,,,,,,,
FCS-M460,Ishita Kashyap,,,,,,,,,,,,,,,
FCS-M461,Ananya Kohli,,,,,,,,,,,,,,,
FCS-M462,Saanvi Mishra,,,,,,,,,,,,,,,
FCS-M463,Krishna Das,,,,,,,,,,,,,,,
FCS-M464,Vivaan Choudhary,,,,,,,,,,,,,,,
FCS-M465,Muskan Ahuja,,,,,,,,,,,,,,,
FCS-M466,Reyansh Chauhan,,,,,,,,,,,,,,,
FCS-M467,Vishal Malhotra,,,,,,,,,,,,,,,
FCS-M468,Avni Rao,,,,,,,,,,,,,,,
FCS-M469,Vani Tiwari,,,,,,,,,,,,,,,
FCS-M470,Nikita Rao,,,,,,,,,,,,,,,
FCS-M471,Palak Ghosh,,,,,,,,,,,,,,,
FCS-M472,Kritika Vyas,,,,,,,,,,,,,,,
FCS-M473,Tanvi Sodhi,,,,,,,,,,,,,,,
FCS-M474,Radhika Sodhi,,,,,,,,,,,,,,,
FCS-M475,Siya Tripathi,,,,,,,,,,,,,,,
FCS-M476,Urvashi Yadav,,,,,,,,,,,,,,,
FCS-M477,Yash Chawla,,,,,,,,,,,,,,,
FCS-M478,Kavya Desai,,,,,,,,,,,,,,,
FCS-M479,Naina Gill,,,,,,,,,,,,,,,
FCS-M480,Piyush Wadhwa,,,,,,,,,,,,,,,
FCS-M481,Vishal Goel,,,,,,,,,,,,,,,
FCS-M482,Nikhil Iyer,,,,,,,,,,,,,,,
FCS-M483,Vidhi Pandey,,,,,,,,,,,,,,,
FCS-M484,Ekta Ghosh,,,,,,,,,,,,,,,
FCS-M485,Neha Rathore,,,,,,,,,,,,,,,
FCS-M486,Hina Chauhan,,,,,,,,,,,,,,,
FCS-M487,Kritika Mishra,,,,,,,,,,,,,,,
FCS-M488,Sneha Pandey,,,,,,,,,,,,,,,
FCS-M489,Ojasvi Nair,,,,,,,,,,,,,,,
FCS-M490,Deepika Wadhwa,,,,,,,,,,,,,,,
FCS-M491,Urvashi Joshi,,,,,,,,,,,,,,,
FCS-M492,Vani Sodhi,,,,,,,,,,,,,,,
FCS-M493,Isha Bajaj,,,,,,,,,,,,,,,
FCS-M494,Dhruv Vyas,,,,,,,,,,,,,,,
FCS-M495,Sakshi Prasad,,,,,,,,,,,,,,,
FCS-M496,Ankit Goyal,,,,,,,,,,,,,,,
FCS-M497,Tushar Dutta,,,,,,,,,,,,,,,
FCS-M498,Kavya Bhardwaj,,,,,,,,,,,,,,,
FCS-M499,Piyush Rathore,,,,,,,,,,,,,,,
FCS-M500,Saanvi Goel,,,,,,,,,,,,,,,
